時間,首次離線時間,IP 位址,設備 ID,設備類型,位置,離線時長(秒)
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.99,4515-606,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.187,2770-B36/B37,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.89,4600-803,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.88,4600-817,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.86,4600-606,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.79,4515-651,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.72,4730-803,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.71,4730-817,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.70,4730-610,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.69,4730-609,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.48,4600-608,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.170,2770-B18/B19,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.171,2770-B20/B21,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.172,2770-B20/B21,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.16,4800-817,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.15,4800-610,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.14,4800-609,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.13,4800-608,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.11,4800-606,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.200,中央儲架_廠商EAP,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.197,4910-B01/B02,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.134,Jul-95,EQP,K11-7F 區網(59),2210
2026-06-17 16:54:06,2026-06-17 16:17:16,172.21.59.139,Aug-95,EQP,K11-7F 區網(59),2210
